mean_salary,mean_residual,p_value,p_adj,significant
63666.666666666664,-208.33333333321934,0.42264973081058266,0.6171434122459944,False
100000.0,-1153.3333333331732,0.8540149102675547,0.9553387131806544,False
97500.0,833.3333333334303,0.8651600275073361,0.9567651482510161,False
103500.0,13644.487922705812,0.27538630070890585,0.5076954147147426,False
66672.25,-1462.4999999999563,0.3910022189557396,0.6086355295067916,False
187443.16666666666,94422.24327674643,0.10908248075309751,0.31576507586422964,False
100200.0,6840.000000001438,0.07651633808627287,0.256460783836815,False
52685.6,-15500.346666665795,0.13596082833463818,0.3560878837335762,False
65000.0,-9104.7528344668,0.09901512566890219,0.29436929252916866,False
72682.9268292683,-13063.83975059458,1.2520035580433018e-05,0.00019674341626394745,True
116505.33333333333,25423.089285713984,0.19300782722386833,0.42461721989251033,False
120000.0,20244.207349694014,0.004256167769267389,0.03601372727841637,True
104490.0,5080.000000000134,0.23054545975215202,0.46962964023586523,False
108283.33333333333,38883.7476190478,0.001392006527931448,0.015312071807245928,True
94127.66666666667,-6239.081649831712,0.5608432809730747,0.7227216223656882,False
109087.5,1885.2272727273667,0.8793575808705363,0.9577161771857325,False
94500.0,-15524.810085226829,0.17238803831432403,0.40761658210665663,False
47500.0,-45705.16020656249,5.646174756720766e-06,9.316188348589264e-05,True
93276.70833333333,-316.76557239007525,0.9615415351935743,0.9999999999999959,False
72850.0,-20061.803030302606,0.19123079219757935,0.42459178278114823,False
60000.0,-5833.333333333186,0.19170962313451845,0.42459178278114823,False
93499.0,-6368.21969696997,0.14672272820249005,0.3713127142749643,False
97260.0,-7625.546335403575,0.28019119336021053,0.5087773787541343,False
100000.0,1948.2915077805908,0.2582672522136132,0.4982309048778797,False
93000.0,-2786.3380403857154,0.8018789285413168,0.9252449175476732,False
126666.66666666667,6.790893773237865e-11,0.9999999999999959,0.9999999999999959,False
112158.8,-9603.23999999981,0.4853712845759831,0.6677345312290243,False
67833.33333333333,-36988.86671401509,0.08475782704816129,0.26894310505666563,False
91788.0,-1.0477378964424133e-09,0.9999999999999618,0.9999999999999959,False
82000.0,-15434.251852964324,0.007798073527228729,0.055942701390988704,False
84007.69230769231,-11169.380159969101,0.13924259394911204,0.3594727572995754,False
83068.0,5976.4476190476025,0.728254451574152,0.8644747087031301,False
110391.66666666667,5939.715217391694,0.30556844031610253,0.5264045003256763,False
75452.66666666667,-17643.88993710658,0.011766478091069234,0.07152061262090428,False
102500.0,-3372.6175585279925,0.50135887173492,0.6698316909818769,False
41666.666666666664,-58980.15833333322,0.004198769534266589,0.03601372727841637,True
76747.5,2700.7894736847666,0.0,0.0,True
111175.0,12059.12912326458,0.24470523116044252,0.4792997078444349,False
37000.0,-55209.36104373477,0.0019263392571781,0.020083679760636904,True
98676.0,11778.428571429433,0.7443819886104377,0.8773073437194444,False
82101.25,-3653.625000000735,0.8134636988687693,0.9279300112018619,False
89100.0,-9722.909090909117,0.0,0.0,True
117516.66666666667,9641.666666666579,0.6094107697793205,0.7646599012440143,False
97987.11111111111,-174.41477272684116,0.9879796866412256,0.9999999999999959,False
112500.0,21100.805555555868,0.2267697453875228,0.4677125998617657,False
107775.67567567568,3740.2970578442555,0.139431857376805,0.3594727572995754,False
105496.63,6202.014393939237,0.1300072802938664,0.35265282944125137,False
65037.5,-30266.30434782614,0.0,0.0,True
75000.0,-3455.718752744952,0.41347088421252376,0.6171434122459944,False
72401.0,6239.428571429405,0.749857769281082,0.8806158856325874,False
161750.0,17076.748913043906,0.2596839867848343,0.4982309048778797,False
88333.33333333333,-17173.979878121634,0.08320472071624137,0.2665782314209675,False
86875.0,-8561.608928571204,0.1845946533470292,0.4172344904419153,False
102375.0,10313.749999999949,0.3235117806311994,0.5446882020831418,False
86733.33333333333,-1821.666666666594,0.42264973081048485,0.6171434122459944,False
53750.0,1.4915713109076023e-10,0.27950350657626793,0.5087773787541343,False
94358.33333333333,-1933.1149269273628,0.7190920391048073,0.8566800465869546,False
83020.0,-5516.166666665929,0.2049481223204299,0.4335441049086017,False
119831.4,19112.340870241118,0.3988999119302474,0.6151260324158021,False
124695.5,-410.20525362319495,0.9462306270416891,0.9999999999999959,False
104015.83333333333,2794.5403225809955,0.6645141947762343,0.809187026849289,False
86350.0,-3864.999999999607,0.29509317636439314,0.5186467328383394,False
107500.0,5678.928450520875,0.3893215593162135,0.6086355295067916,False
106450.0,17500.826513535816,0.010498537245318811,0.06793171158735702,False
90250.0,-261.9999999994558,0.9752887366952351,0.9999999999999959,False
170000.0,14394.90416666718,0.3641966610044163,0.5912102594306338,False
60000.0,-40514.279296875204,0.0,0.0,True
95244.44444444444,-83.06944444406125,0.9646064250603943,0.9999999999999959,False
67000.0,-32247.625000000204,0.0,0.0,True
137162.5,25057.1591981136,0.029296624519523504,0.12720902751898364,False
119162.5,18562.383146964698,0.11274964950463826,0.32354247249157064,False
119988.828125,12676.198832209555,0.0005771631470936873,0.007325532251573724,True
154501.66666666666,54282.01432148133,0.08664504074552729,0.27033798692174754,False
128860.66666666667,7778.266619318485,0.4911840865551462,0.6677345312290243,False
115000.0,-323.7833806813287,0.4226497308108932,0.6171434122459944,False
124687.33333333333,14204.483333333503,0.005721662356471683,0.04605240433257696,True
104166.66666666667,-1676.9131549606052,0.17292824695433917,0.40761658210665663,False
51000.0,-64971.35014204486,0.0,0.0,True
141000.0,45931.19372562427,0.09648112038581216,0.2894433611574365,False
78500.0,-15298.654799278005,0.0003374294164918433,0.0048413785844481855,True
111666.66666666667,-10351.584634807563,0.5291968174975835,0.6960448562833671,False
