UMAP1,UMAP2,job_id,company,entry_count,salary_year_avg,aws,azure,excel,flow,go,looker,oracle,power bi,powerpoint,python,r,sas,snowflake,spss,sql,sql server,tableau,word,cluster,cluster_size
42.76097,-20.510342,1244015,Citi,9,105515.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,4,381
11.306079,-0.41753554,1244065,Elevate Digital,36,90000.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,32,13
9.377776,22.876135,1244352,United States Postal Service,36,65500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,12,212
43.147095,-18.39409,1244897,Get It Recruit - Real Estate,4,90000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,4,381
3.183843,-13.142489,1244976,Kforce Technology Staffing,36,111500.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,7,300
29.10167,15.198289,1245697,Leidos,4,84150.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,20,108
6.4460087,-0.6095929,1246069,Plexus Resource Solutions,4,165000.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,151
2.5133622,-13.943573,1246251,Teacher Retirement System of Texas,25,93000.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,7,300
10.476125,-1.8524354,1246942,Insight Global,25,125000.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,26,151
14.302489,27.436506,1249267,Talent Group,1,50000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,268
43.852184,-19.62016,1249814,State Street,4,147500.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,4,381
